Unnamed: 0,LABEL,Headline
0,bitcoin,rose friday adding previous close
1,bitcoin,investor dipping toe water bumper month
2,bitcoin,surge rally intact analyst say could awaken dormant long term bull benzinga
5,bitcoin,looking steady week
6,bitcoin,salvador became first country world recognize legal tender year approved wednesday would regulate issuance digital asset state private entity
7,bitcoin,charge dragging market floor electrifying bonk meme coin
8,bitcoin,skybridge capital betting sustained turnaround market firm founder anthony scaramucci said admitting view overly bullish
9,bitcoin,silvergate stock surged monday weekend
10,bitcoin,period highly negative sentiment seen suspiciously solid floor finance professor john griffin told fortune
11,bitcoin,bond issuance originally planned early salvador seek raise billion called volcano bond
12,bitcoin,invest bull case million base case
13,bitcoin,investor piling back market jumping year date
14,bitcoin,asset manager grayscale investment gearing prolonged legal fight security exchange commission create spot exchange traded fund company chief executive officer said
15,bitcoin,bloodbath tesla billion backfire elon musk carmaker dumped least position
16,bitcoin,giant binance processed almost million bitzlato digital currency exchange whose founder arrested authority last week allegedly running money laundering engine blockchain data seen reuters show
17,bitcoin,surge continues first time since collapse early november coindesk report largest market capitalization started week near mark hovering
18,bitcoin,exchanging ether example taxable event eye even receive dollar
19,bitcoin,investor made large shift away short bet last week token price climbed january
20,bitcoin,character simpson episode say behold wonder china mine forced labor camp child make smartphones
21,bitcoin,interview insider invesco brian levitt break money dollar look weaken could climb
22,bitcoin,taleb said stock market expensive relative current interest rate championed warren buffett investing style trashed
23,bitcoin,jpmorgan survey institutional trader found plan trading digital asset year
24,bitcoin,york time covered research authored john griffin finance professor university texas hong kong based bitfinex largest least regulated exchange industry
26,bitcoin,despite volatile nature millionaire still want ahead curve
27,bitcoin,investor losing faith fashionable technobabble turning gold rock age nobel prize winner paul krugman suggested
28,bitcoin,accepted candy gift capitol say senator cruz another getting resolution passed
29,bitcoin,bridgewater associate founder also told cnbc see china yuan digital renminbi making gain
30,bitcoin,hacker group associated north korea lazarus group responsible theft last june million firm harmony horizon bridge federal bureau investigation said monday
31,bitcoin,move higher come price enjoy sustained rally industry market reclaiming trillion weekend
32,bitcoin,company digital currency group center industry latest meltdown company genesis froze customer withdrawal november
33,bitcoin,eye meeting next week central bank expected announce smaller increase benchmark rate
34,bitcoin,mentioned lastpass story closing couple week detail still scarce hope lastpass would release transparent information happened
35,bitcoin,reporting transaction tax important ever expert right
36,bitcoin,bucked wider downward trend meme token surged tuesday amid report elon musk plan twitter payment
37,bitcoin,faltering digital asset firm filed chapter month enduring double whammy exposure tothree arrow capital
38,bitcoin,threat impending regulation dominated headline recent month lost investor protection stand federal showdown
39,bitcoin,jamie dimon previously compared token rock called industry complete sideshow collapse
40,bitcoin,news day revelation luke dashjr core developer wallet compromised lost small fortune something shock guessing
41,bitcoin,cambiado puristas contentos centro debate gira alrededor ordinales nuevo protocolo creado casey rodarmor permite inscribir artefactos digitales cadena bloques
42,bitcoin,prosecutor confirmed lazarus group behind june hack firm harmony billion converted
43,bitcoin,bankman fried hedge fund alameda research hand relied heavily token created
44,bitcoin,heatbit space heater allegedly us energy produced calculation intensive mining heat home also cost though company insists cover electricity bill payment
45,bitcoin,hablar criptomonedas hablar promesas promesas siempre cumplen lleg hundirse niveles perdiendo mitad valor arrastrando consigo enorme crisis dentro territorio cripto pero todo baja puede
46,bitcoin,jersey face year behind bar hired hitman paid kill year prosecutor said
47,bitcoin,early count chicken price action since yesterday encouraging executive told insider
48,bitcoin,need adult supervision need goldman sachs morgan stanley blackrock come saylor said
49,bitcoin,elon musk billion tesla turned deal sunk fund january trading simultaneously announced tesla would begin accepting announc
50,bitcoin,ransomware cyber gang made million sound money compare record estimated profit million told hacker managed extort le victim past year year
51,bitcoin,unprecedented layoff ten thousand highly qualified computer nerd apparently place always turn really desperate dark recent report security firm kaspersky show
52,bitcoin,former employee network technology provider ubiquiti pleaded guilty multiple felony charge posing anonymous hacker attempt extort almost million worth employed company report nickolas
53,bitcoin,look five trend expect blockchain
54,bitcoin,launch deserve every second wolf street trader scott melker said
55,bitcoin,german online bank said tuesday would expand list country customer trade include germany switzerland
56,bitcoin,outlet coindesk exploring full partial sale business hired investment bank lazard href wwreuterscom company lazn target blank lazn lead process medium company chief executive said
57,bitcoin,semafor planning founder bankman fried roughly million investment news startup york time reported wednesday citing company chief executive officer
58,bitcoin,salvador repaid million bond finance minister alejandro zelaya said monday bond mature central american country faced pressure make progress cutting debt
59,bitcoin,company scheduled release fourth quarter earnings result week
60,bitcoin,eigentlich wollte justiz hunderte eines gest ndigen geldw schers beschlagnahmen doch sein bruder konnte sich kryptogelds chtigen
61,bitcoin,mitteilte halten verschiedene rden bundes rund investment habe aber nicht angeschafft
62,bitcoin,another exciting announcement country salvador announced passing digital asset issuance legislation proposed last november digital asset regulatory framework pave much anticipated volc
63,bitcoin,hong kong security watchdog propose subset token would allow retail investor trading chief executive said wednesday press regulatory regime make city friendly startup
64,bitcoin,presentation sony announced afeela brand electric car collaboration honda seems fairly standard futuristic concept first glance albeit slightly sillier name save function particular
65,bitcoin,thursday report investor turn attention fourth quarter earnings kick friday bank
66,bitcoin,alphabet follows microsoft meta others tech giant announcing mass layoff wall street continues brace economic downturn
67,bitcoin,treasury took extraordinary measure thursday meet obligation officially debt ceiling congress
68,bitcoin,despite recession fear labor market solid jobless claim unexpectedly fell last week economist forecast
69,bitcoin,gross domestic product fourth quarter rose annualized pace commerce department said thursday
70,bitcoin,earnings season heating industrial giant reporting early tuesday tech heavyweight later
71,bitcoin,ukraine financial sanction continue weigh country sberbank eyeing foray
72,bitcoin,insider hallam bullock rounded market story including tip stock expect rest
73,bitcoin,insider phil rosen speaks executive behind driven fund leverage watson supercomputer
74,bitcoin,outlook horrible great galaxy digital said time heal rebuild narrative
75,bitcoin,core increased december year november annual pace line forecast
76,bitcoin,gained week nasdaq jumped
77,bitcoin,company reported earnings beat profit estimate median according fundstrat
78,bitcoin,company reported earnings beat profit estimate median according fundstrat
79,bitcoin,first last recent enormous implosion industry previously seen example parade external theft internal theft anti money laundering failure cybercrime enablement loss cryptographic key
80,bitcoin,geldw scher diebesbr arbeitnehmer tsmc prognose ermahnt tiktok chef kritik heren rundfunkgeb hren
81,bitcoin,african currency plunged last year federal reserve interest rate hike drove dollar higher promoted hedge according wall street journal
82,bitcoin,ether nnen kunden bald auch smartphone bank erwerben partner bitpanda
83,bitcoin,literally scam criminal activity total real bubble ponzi scheme going bust economist nouriel roubini said
84,bitcoin,coinbase stock recovery mode slammed
85,bitcoin,prospect part twitter payment ecosystem ramped meme coin gain january
86,bitcoin,alameda research received billion genesis height lending relationship according wall street journal
87,bitcoin,chairman jerome powell said conference stockholm restoring price stability requires unpopular decision
88,bitcoin,strengthening balance sheet reducing operating expense preserving liquidity according shareholder letter seen bloomberg
89,bitcoin,december report inform investor whether federal reserve need continue hiking interest rate aggressively
90,bitcoin,half company reported fourth quarter earnings company beat profit estimate median
91,bitcoin,would assume industry learn failure come thing head innovation told reuters
92,bitcoin,cuban touted voyager multiple occasion previously calling bankrupt lender close risk free gonna
93,bitcoin,customer japan february withdraw holding exchange
94,bitcoin,floki another shiba themed token named musk soaring plan burn token remove circulation
95,bitcoin,bond yield soared friday january job report showed payroll gain unemployment rate year
96,bitcoin,easy cash impact felt world market hopeful pain aggressive rate hike high inflation passed
97,bitcoin,investment banker barry silbert worked highest profile corporate failure founder venture capital firm digital currency group parent troubled firm genesis grappling problem closer home
98,bitcoin,salvador cleared million bond payment hurdle week lingering concern financing source fiscal policy focus country prepares annual visit international monetary fund
99,bitcoin,founder defunct business sentenced tuesday eight year prison defrauding investor customer million dollar marketing virtual currency called coin lie half truth
100,bitcoin,bankrupt exchange said report creditor tuesday million stolen result hack
101,bitcoin,collapse price digital asset past year allow investor focus true value technology distributed ledger smart contract built former reserve bank india governor raghuram
102,bitcoin,global exchange kucoin offer multiple payment option nfts trader limited access
103,tether,four owned according investigatory document viewed wall street journal coindesk report document probe york attorney general federal commodity future trading commission
104,tether,general secretary say ahead wednesday strike teacher undervalued underpaid overworked teacher mary bousted national education union said government called last ditch talk monda
105,tether,exchange cryptocom longer facilitate transaction involving canada plan delist largest stablecoin market capitalization customer region decrypt report cryptocom delisted usdt user
106,tether,firm helmed inspector gadget creator lucrative tie bankman fried failed exchange forbes reported
107,tether,every device native network iphone wireless hotspot device robust connection availableset personal hotspot iphone provide device
108,tether,girl sexually assaulted vision test official said
109,tether,joanna lumley delight musical exchange real husband turn comedy fictional spouse excellent aleks krotoski tell story bruce pull shockerjoanna maestro nuzzle burning
110,tether,year pupil milly bell headteacher elisabeth broers united support teacher going strike weekafter three year disrupted education form home learning bubble incessant mask wearing classmate want
111,tether,want access iphone internet connection teach method wired wireless
112,tether,indian fisherman stranded remote island found innovative way survive
113,tether,york time covered research authored john griffin finance professor university texas hong kong based bitfinex largest least regulated exchange industry
115,tether,felt failure found breastfeeding painful visual helped make sense mother divine mother royal mother ancient clay statuette pregnant woman contemporary exploration birth
116,tether,former labour sheffield hallam accused making fraudulent expense claim nearly former labour accused expense fraud thousand pound debt drug dealer regularly took five gram cocaine court
117,tether,capture holt rliche farben feine detail dateien heraus hersteller workflow gebasteltwir haben version getestet
118,tether,insider phil rosen explains strangest latest development surrounding defunct firm founder bankman fried
121,tether,pleiten skandalen gezeichnete kryptow hrungsbranche kommt nicht ruhe gleich mehrere firmen beginnen jahr entlassungen
122,tether,highlight cool technology mentioned dark forest
123,tether,twitter announced free access likely bringing site popular account
124,tether,three winner year
125,tether,asset exchange wallet provider cryptocom announced delist world leading stablecoin canadian cryptocom recently emailed canadian customer notifying would supported
126,tether,world largest stablecoin market capitalization never received loan bankrupt lender celsius according chief technology officer paolo ardoino bitfinex exchange took twitter
127,tether,apple pencil samsung microsoft surface pretty great also expensive replace lose zooploop solves problem silicone loop around tablet case securely grip stylus
128,tether,link offered first affordable router archer even cheaper limited time sale
129,tether,submitted gabriel colinif looking reliable attach gear pouch even trayvax link provides strength convenience need link feature extremely simple efficient design
130,tether,name suggests studio cart video cart tethering cart cart studio studio grows need move thing around studio cart really help workflow obviously help move thing around
131,tether,verhaftungen darunter betreiber kryptob bitzlato melden rden beidseits atlantik bitzlato soll drogen segeld gewaschen haben
132,tether,netflix quiet western front prof surprise award season better time list guide reader favourite film language film reigned supreme nomination baftas week surprisingly
133,tether,dive right deep complicated market three popular well known easy understand
134,tether,grown popularity since collapse frequently reach daily transfer volume four five time recorded major competitor usdt according data blockchain analytics firm glassnode despite market
135,tether,nikon released version picture control utility studio detail nikon picture control utility version added support firmware version added support macos ventura version picture control utility
136,tether,heimliche macht kryptomarkt stablecoin nnen anleger kursgewinne anderen kryptow hrungen absichern doch gibt einige probleme
137,tether,post contains spoiler last video game series name
139,tether,well played fed next ransomware rampant strong password important
141,tether,vivianne castillo argues designer relationship hope outsized impact value research practice
143,tether,week morning train read raise rate say done think even say expects ongoing rate hike expect next move rate year morningstar boom time online classi
144,tether,rush first true game year contender delivering unforgettable rhythm action experience
145,tether,stablecoin usage continues climb hundred thousand user relying dollar pegged every
146,tether,highly volatile asset class many digital coin considered speculative invest safely volatile market
147,tether,coinspeaker demand usdc stablecoin skyrocket collapse following series event took place appears circle issued usdc stablecoin suddenly found favorite option among user according
148,tether,coinspeaker cryptocom delists usdt canadian following leading global exchange cryptocom announced decision delist usdt stablecoin canadian order comply instruction ontario security
149,tether,salvador faced tough year making legal tender country country legislative assembly voted pas historic digital asset issuance legislation expected stage issuing president nayib bukele
150,tether,jpmorgan jamie dimon previously slammed ponzi scheme thursday told cnbc squawk decentralised ponzi scheme hyped fraud dimon say people lost billion dollar belief
151,tether,leading financial institution moody corporation reportedly working scoring system stablecoins assessing quality reserve attestation bloomberg reported bloomberg citing person familiar matter repo
152,tether,sister wife robyn brown kody brown remaining wife sole reality blue light online right forum finally melted frontal lobe right ear said something misogynistic sunday season finale epi
153,tether,moody want build scoring system stablecoins market grows amid increased regulatory attention system provide rating system stablecoins based quality reserve attestation leading stablecoins market
154,tether,coinspeaker winter look thaw paving takeover coin eye coin eye coin glide passed million mark weekend currently presale coin gathered increasing legion
155,tether,price broke descending resistance line despite overwhelmingly bearish news firstly firm announced would delist usdt canadian order comply canadian security administrator day late
156,tether,paranoia turmoil industry caused liquidity bankruptcy scandal major digital asset service provider space began publicizing reserve fund latest join proof reserve trend indian
157,tether,former prime minister boris johnson reportedly received record breaking million million donation thailand based investor bitifinex parent company shareholder friday updated register interest reveals
158,tether,near trillion collapse market make dent traditional asset stock real economy academic warned failure major stablecoin could impact bond market marking
159,tether,japan regulation allowing investor trade using stablecoins usdt expected adopted later june according local financial authority financial service agency japan working lifting
160,tether,posted last week poll smartphone charging speed kept hour minute minute option evenly matched outpacing answer poll thing started turn
162,tether,latest distributed ledger column marketwatch weekly look important move news
163,tether,today nikon released version wireless transmitter utility support latest added support macos ventura version ended support macos catalina version
165,tether,flashback troubled army program
171,tether,benro preparing release tripod kickstarter called benro theta theta sort smart tripod biggest feature boast auto levelling tripod world first
172,tether,usdt visa mastercard
174,tether,video test fujifilm canon studio camera originally intended compare image quality fuji megapixel cropped sensor canon megapixel full frame sensor
175,tether,commenc soci distinctes dirig ancien chirurgien plasticien giancarlo devasini ancien enfant acteur brock pierce devasini velopper bourse bitfinex maintenant directeur financier
176,tether,algorithmic stablecoins controversial several reason trust
177,tether,since merge change blockchain
178,tether,wanted create simple accessory prevent golfer losing airborne said inventor sugar hill
179,tether,snoopy come home world famous astronaut splashed nasa artemis orion spacecraft december month later beagle removed capsule
180,tether,takiego czenia spodziewa picodi binance
182,tether,darpa want satellite closer earth drag resistance thermosphere mile mile planet darpa want earth orbit vleo orbit le
183,tether,usdt stablecoin issuer never borrowed celsius paolo ardoino said response statement celsius examiner report
184,tether,collaborates inhope disrupt illegal fund online exchange child abuse material
185,tether,york attorney general commodity future trading commission probe exposed previously unknown ownership structure
186,tether,today edition download weekday newsletter provides daily dose going world technology indian health care worker whatsapp save pregnant woman across india woman cadre million communit
188,tether,likely survive firm currency crash burn
189,tether,radware ddos passion passion killnet mirai venom
190,tether,climbing show produced jason momoa proof competition team effort
191,tether,move come quality stablecoin reserve continues receive scrutiny
192,tether,bien couverture cesse tendre faut avouer tout monde toujours enseigne heureusement solution existent pour dier parmi elles link teur routeur teur
193,tether,logan paul convinced fan invest million several project including cryptozoo liquid marketplace many lost money
194,tether,reached italian architect alfredo vanotti snug stone house italian countryside anticipate deep architect place would building used past stable
195,tether,usdc stablecoin issued circle seen transfer volume surge following fallout often recording daily volume leading competitor usdt issued boast market billion
196,tether,registered exchange ontario canada cannot list usdt regulatory prohibition
197,tether,council utility worker city dnipro seen dismantling giant statue previously placed centre city monument russian scientist
198,tether,pair north korean hacker group behind june theft million asset horizon bridge federal bureau investigation said monday statement
199,tether,move first expansion stargate beyond layerzero technology
200,tether,since depegging terrausd consumer become critical stablecoins work paolo ardoino chief technology officer popular stablecoin usdt break stablecoins work responds frequently
201,tether,eine kurzer dauer indische adani gruppe verliert nach angriff shortsellers hindenburg research weiter massiv wert leerverk ufer einen reichsten nner welt attackiert
202,tether,exchange huobi blocked fund tied hack monday morning
203,tether,need replacement dbal illuminator cover available black coyote brown ranger green wolf grey wooldand multicam multicam alpine multicam arid multicam tropic made laser berry compliant brookwood
204,tether,best casino offer unparalleled gaming experience much many punter abandoned traditional online casino stablecoin pegged united state dollar allowing avoid usual vola
205,tether,along degree camerawork well timed laughter whole alberta town came together make societal collapse feel true show version
206,tether,half price available online
211,tether,exchange said timing mismatch backing binance busd busd seemingly showing data stablecoin fully backed time
212,tether,hypergrowth cloud stock still room
213,tether,signing online casino
216,tether,move come canadian security administrator committed stronger oversight exchange following collapse
217,tether,algorithmic stablecoins terrausd accepted planned regulatory regime hong kong monetary authority said
218,tether,japan plan introduce regulation june year allow domestic investor trade certain stablecoins overseas
219,tether,gained nearly year world largest track best month since
220,tether,tanmay misra writes india looking become great power world stage ability seems draining within pravasi bharatiya diwas seek paper contradiction thing
221,tether,sistema incluir lise stablecoins base qualidade atestados reservas apoiam moody trabalhando sistema pontua para stablecoins token mais negociados setor cripto medida classe ativ
222,tether,week ebay plus deal
230,dogecoin,bucked wider downward trend meme token surged tuesday amid report elon musk plan twitter payment
231,dogecoin,prospect part twitter payment ecosystem ramped meme coin gain january
232,dogecoin,floki another shiba themed token named musk soaring plan burn token remove circulation
233,dogecoin,surge rally intact analyst say could awaken dormant long term bull benzinga
236,dogecoin,twitter owner elon musk long flirted ever integrated platform
237,dogecoin,charge dragging market floor electrifying bonk meme coin
238,dogecoin,little inherent value mostly driven hyped narrative pushed online market participant recent report state
239,dogecoin,warren buffett year business partner called wild speculation dearth regulation predatory nature industry
240,dogecoin,eigentlich wollte justiz hunderte eines gest ndigen geldw schers beschlagnahmen doch sein bruder konnte sich kryptogelds chtigen
241,dogecoin,learn out starting ending whether consider investing
242,dogecoin,meme token seeing support important backer today
243,dogecoin,valued higher coinbase time panic
244,dogecoin,year fundamental catalyst supporting rise
